"","ID","Sexo","Edad","estudios","urg_neg","urg_pos","prem","preserv","sen_seek","UPPSP","pos_ref","relief_neg","plans","cues","preocup","crav_hung","lack_ctrl","emotion","guilt","FCQT","MulticageTotal"
"24",304954,1,19,3,11,10,10,11,9,51,24,8,10,17,18,17,21,12,5,132,2
"25",306521,2,21,4,10,10,7,4,12,43,16,7,11,6,11,16,8,8,3,86,0
"26",307153,2,21,4,12,12,8,6,7,45,15,4,14,12,10,14,12,8,3,92,0
"27",308265,2,21,4,10,13,10,8,11,52,20,11,12,14,19,13,18,11,10,128,0
"28",311562,2,18,3,10,8,6,6,10,40,16,8,9,19,15,20,17,13,11,128,1
"29",326462,2,19,4,8,6,6,6,4,30,14,6,7,8,10,16,7,10,3,81,0
"30",328260,2,21,3,11,11,6,4,7,39,19,11,10,17,19,18,21,22,9,146,1
"31",332876,2,20,4,13,13,6,5,11,48,25,13,15,19,31,19,24,16,15,177,4
"32",340201,2,21,3,10,9,4,6,9,38,15,7,7,14,11,16,16,5,7,98,0
"33",354048,2,18,4,8,8,7,5,8,36,16,7,8,9,10,13,10,10,6,89,0
"34",366817,2,18,4,5,9,7,4,9,34,9,5,9,12,13,13,18,8,6,93,2
"35",372528,2,20,3,12,13,8,4,15,52,15,10,7,9,11,17,17,10,9,105,2
"36",374326,2,18,4,7,13,9,5,15,49,16,7,7,14,16,11,23,20,16,130,2
"37",375996,2,18,3,14,8,4,7,6,39,28,12,14,19,25,19,20,20,14,171,1
"38",378420,2,18,3,5,12,6,7,9,39,23,8,14,18,19,24,16,17,3,142,0
"39",393476,2,21,4,13,11,5,8,14,51,17,9,10,18,24,10,22,18,13,141,3
"40",410000,2,20,4,11,11,12,10,9,53,15,5,6,7,16,12,18,9,3,91,2
"41",421648,2,20,4,13,14,5,4,9,45,16,7,12,11,13,16,13,10,3,101,0
"42",433766,2,18,3,14,9,10,11,6,50,24,13,11,19,21,18,25,23,10,164,2
"43",440658,2,19,4,13,14,5,5,9,46,11,4,3,6,9,8,7,7,3,58,0
"44",453452,2,19,4,9,10,7,5,9,40,14,7,7,11,13,13,12,11,10,98,0
"45",455358,2,20,3,13,8,7,10,6,44,18,4,15,7,8,15,13,5,3,88,0
"46",462731,2,18,4,11,9,7,10,12,49,18,9,14,14,18,16,18,10,8,125,0
"47",465919,2,20,4,9,13,6,4,12,44,19,9,12,10,18,14,14,8,5,109,2
"48",482183,2,18,4,11,8,5,7,11,42,18,7,9,17,14,15,19,15,6,120,0
"49",487329,2,20,3,8,10,5,7,10,40,17,7,9,8,20,18,17,16,13,125,3
"50",498869,2,19,4,10,9,5,11,15,50,27,15,14,17,30,19,21,21,12,176,0
"51",507881,2,19,4,12,10,9,14,5,50,15,5,3,12,8,13,10,9,3,78,0
"52",528884,2,19,4,6,7,8,5,11,37,11,7,8,11,14,12,12,9,9,93,2
"53",539628,2,18,4,11,12,4,5,9,41,21,10,13,9,12,15,14,16,3,113,0
"54",558423,2,18,4,8,4,5,5,5,27,14,8,7,9,16,11,18,12,14,109,3
"55",568335,1,20,4,5,8,6,7,13,39,9,4,6,14,11,12,13,9,4,82,0
"56",574983,2,19,4,7,9,5,6,10,37,14,8,8,12,16,15,12,9,3,97,0
"57",580870,2,18,4,13,13,6,5,16,53,8,8,10,14,13,10,21,7,16,107,4
"58",581529,2,21,4,11,10,8,4,13,46,13,7,7,11,9,7,12,6,3,75,0
"59",589655,2,19,4,9,12,7,4,11,43,21,11,11,12,17,17,16,10,3,118,0
"60",593878,2,24,4,12,9,9,5,8,43,19,8,9,12,15,15,12,9,4,103,0
"61",598317,2,20,4,10,7,5,8,13,43,19,8,15,16,29,17,18,11,4,137,0
"62",599842,2,21,4,7,7,7,7,10,38,19,10,8,10,14,14,10,15,4,104,1
"63",612623,2,19,3,10,10,6,8,11,45,14,7,8,15,17,16,13,9,6,105,0
"64",613001,2,24,4,10,11,6,8,16,51,27,18,11,19,20,21,28,19,4,167,0
"65",620425,2,21,4,7,5,4,7,12,35,15,7,9,13,14,12,12,13,6,101,0
"66",633256,2,20,4,4,10,9,7,14,44,18,8,5,23,13,14,17,7,11,116,2
"67",659352,2,20,4,12,9,5,4,9,39,15,9,7,12,8,14,17,14,6,102,0
"68",670597,2,30,3,9,11,11,9,9,49,10,4,5,11,11,11,11,5,5,73,0
"69",685411,2,18,4,7,16,13,4,16,56,17,4,12,8,15,18,14,5,4,97,0
"70",686972,2,19,4,11,10,6,5,9,41,11,7,7,12,12,13,15,8,5,90,0
"71",700369,2,20,4,15,13,10,8,13,59,19,10,11,15,16,14,20,13,6,124,0
"72",705617,2,21,4,12,11,5,7,9,44,16,7,5,15,8,11,10,10,8,90,0
"73",712986,2,20,4,9,12,7,4,11,43,19,11,14,16,17,16,21,12,8,134,2
"74",728457,2,19,4,7,9,6,4,11,37,16,8,8,12,12,16,14,15,9,110,1
"75",738658,2,19,4,9,11,5,4,14,43,17,8,12,9,10,11,9,6,7,89,0
"76",739736,2,21,4,4,6,8,6,8,32,12,6,8,10,15,12,9,9,4,85,0
"77",742500,2,22,4,7,12,8,9,13,49,18,7,10,12,16,18,16,9,6,112,1
"78",756791,1,28,4,9,11,5,5,15,45,21,11,8,10,21,17,22,18,13,141,2
"79",757529,2,19,4,10,11,4,5,14,44,20,8,10,17,13,17,13,8,4,110,0
"80",771270,2,20,4,7,9,8,8,8,40,14,10,8,13,11,11,16,13,6,102,0
"81",785113,2,20,4,7,12,4,4,12,39,18,10,5,12,13,19,15,18,7,117,0
"82",788245,2,20,4,14,12,7,6,14,53,14,9,9,12,14,15,15,13,10,111,0
"83",791492,2,23,3,5,8,5,4,12,34,9,5,6,8,11,12,9,5,5,70,0
"84",796028,2,18,3,9,11,8,4,8,40,16,9,11,11,15,15,16,9,9,111,1
"85",809803,2,21,4,12,13,8,12,10,55,15,6,8,15,17,14,20,7,9,111,1
"86",815763,1,18,3,10,9,7,7,13,46,15,7,11,10,11,13,11,11,6,95,0
"87",819996,2,22,4,4,12,9,8,15,48,9,6,7,10,24,17,10,4,12,99,4
"88",826697,2,20,4,8,11,5,7,10,41,18,10,7,9,13,13,18,10,8,106,1
"89",840655,2,18,3,4,8,7,5,11,35,10,3,4,7,9,8,9,7,3,60,0
"90",850248,2,18,4,6,12,4,7,11,40,19,9,10,10,24,17,14,13,3,119,0
"91",863647,2,18,4,10,5,4,4,12,35,16,7,11,11,7,15,12,7,9,95,0
"92",873746,2,19,3,9,7,5,6,7,34,22,11,12,18,17,16,16,17,12,141,0
"93",876262,2,20,4,9,6,4,6,6,31,15,10,9,12,13,14,14,10,8,105,1
"94",879729,2,18,4,5,7,8,6,9,35,18,8,11,15,12,18,12,12,6,112,0
"95",880237,1,18,4,8,9,7,4,11,39,13,10,8,16,10,9,8,12,11,97,4
"96",881724,2,20,4,15,16,7,6,8,52,15,12,8,13,14,10,16,12,9,109,1
"97",900378,2,18,4,6,10,7,7,5,35,11,3,3,12,7,13,6,6,3,64,0
"98",901878,2,18,4,9,10,9,10,13,51,18,10,8,13,15,15,17,12,11,119,3
"99",903616,2,21,4,10,9,7,4,14,44,18,11,12,13,13,19,15,6,5,112,0
"100",910328,2,21,3,12,13,10,8,12,55,16,9,11,14,17,17,16,13,8,121,1
"101",914522,2,18,3,12,10,8,11,9,50,16,6,9,12,15,12,11,7,5,93,0
"102",914989,2,19,4,16,11,7,11,13,58,18,8,16,14,12,15,18,15,6,122,3
"103",932976,2,19,4,10,8,6,6,11,41,15,6,8,9,17,18,12,6,3,94,0
"104",944117,2,18,4,12,9,10,6,7,44,19,10,15,19,27,21,31,20,16,178,4
"105",949230,2,19,4,12,13,8,4,12,49,14,7,10,15,17,17,20,8,4,112,0
"106",958264,2,18,4,14,16,11,9,16,66,21,13,11,18,13,21,19,20,6,142,0
"107",972804,2,18,4,13,15,8,11,9,56,8,4,5,14,9,12,21,14,10,97,1
"108",974835,2,18,4,11,10,9,4,6,40,12,5,4,10,10,13,7,8,5,74,1
"109",979302,2,18,3,12,11,6,6,6,41,14,9,8,10,13,11,12,15,5,97,2
"110",989008,2,20,4,9,11,8,5,11,44,17,9,8,9,14,13,9,11,6,96,0
"111",999084,2,18,4,8,8,8,8,9,41,12,7,8,10,11,15,15,8,10,96,0
