"","ID","Sexo","Edad","estudios","urg_neg","urg_pos","prem","preserv","sen_seek","UPPSP","pos_ref","relief_neg","plans","cues","preocup","crav_hung","lack_ctrl","emotion","guilt","FCQT","MulticageTotal"
"1",104482,2,20,4,8,6,5,4,9,32,17,6,7,11,10,16,10,19,5,101,0
"2",113969,2,20,4,8,10,7,5,12,42,20,12,7,13,12,12,13,13,4,106,0
"3",131205,2,20,4,12,9,9,11,9,50,12,7,7,14,11,12,15,12,7,97,1
"4",134957,2,18,4,9,12,5,5,10,41,17,7,5,13,19,14,11,13,6,105,2
"5",155724,2,19,4,9,10,8,7,10,44,18,11,10,13,14,13,16,8,4,107,0
"6",168278,2,19,4,10,11,10,7,15,53,23,10,10,16,16,17,13,16,4,125,0
"7",178283,1,20,3,6,11,8,5,8,38,16,10,8,9,10,13,6,6,4,82,0
"8",194163,2,18,4,10,12,8,5,15,50,25,13,11,20,28,22,29,11,13,172,4
"9",208988,2,18,4,11,11,8,9,8,47,11,5,7,11,12,10,9,7,4,76,0
"10",213223,1,20,3,14,12,8,8,14,56,19,13,10,20,19,14,21,19,9,144,1
"11",234160,3,22,4,12,10,4,6,5,37,13,10,11,11,12,15,18,16,10,116,1
"12",234347,2,20,4,11,10,5,4,13,43,15,8,10,11,15,10,19,9,15,112,3
"13",236717,2,18,4,10,15,7,4,15,51,19,10,14,12,15,14,15,13,4,116,0
"14",241290,1,21,4,7,10,8,7,9,41,19,11,6,16,15,11,16,14,7,115,0
"15",242706,2,26,4,8,14,5,9,11,47,12,9,10,15,12,12,23,17,11,121,3
"16",243388,2,18,4,4,7,7,4,13,35,12,3,11,8,9,11,8,5,8,75,2
"17",255157,2,18,4,4,6,6,4,10,30,8,5,6,14,9,10,16,7,7,82,1
"18",261523,2,18,3,5,8,7,8,6,34,9,3,9,9,9,13,9,5,3,69,0
"19",263017,2,18,3,11,10,7,7,10,45,15,7,9,13,18,17,13,10,10,112,3
"20",279640,1,26,4,6,4,7,7,9,33,18,11,6,8,14,10,17,8,4,96,1
"21",294833,2,19,4,5,8,4,6,7,30,17,10,15,17,28,16,23,20,17,163,4
"22",297095,2,21,4,9,10,4,6,14,43,16,9,10,16,20,12,25,15,12,135,4
"23",303770,2,22,3,6,8,8,5,12,39,20,8,11,10,17,16,10,12,3,107,0
